대화ID,화자A ID,화자A 성별,화자A 연령대,화자B ID,화자B 성별,화자B 연령대,화자C ID,화자C 성별,화자C 연령대,주제,키워드,발화 번호,발화자,발화,신조어
152395,0086,남자,20,0149,여자,20,0102,남자,20,건강 및 식음료,잔여콜레스테롤,1,A,헬롱! 잔여콜레스테롤에 대해 들어봄?,
,,,,,,,,,,,,2,B,"응, 들었어! 잔여콜레스테롤이 당뇨병에 영향을 미친다는 거지?",
,,,,,,,,,,,,3,C,맞아! 한림대학교에서 한국인을 대상으로 한 연구 결과야.,
,,,,,,,,,,,,4,A,그래서 잔여콜레스테롤이 높으면 당뇨병 발생 위험이 높아진다는 거야?,
,,,,,,,,,,,,5,B,그렇대! 특히 젊을수록 영향을 크게 받는다고 해.,
,,,,,,,,,,,,6,C,내분비내과 교수들이 한국인 데이터를 분석해서 발표했어.,
,,,,,,,,,,,,7,A,잔여콜레스테롤은 VLDL이나 IDL에 있는 콜레스테롤을 말하는 거지?,
,,,,,,,,,,,,8,B,맞아! LDL과 HDL을 제외하고 계산하는 거야.,
,,,,,,,,,,,,9,C,잔여콜레스테롤은 심혈관질환 위험 요인이라는 건 이미 알려진 사실이야.,
,,,,,,,,,,,,10,A,그런데 잔여콜레스테롤과 포도당 대사 사이의 관계는 불분명하다고 하더라.,
,,,,,,,,,,,,11,B,그래? 그럼 잔여콜레스테롤과 당뇨병 사이에 직접적인 인과관계는 없는 건가?,
,,,,,,,,,,,,12,C,아직은 확실하지 않아. 더 많은 연구가 필요하다고 하더라.,
,,,,,,,,,,,,13,A,글쿠나. 그럼 잔여콜레스테롤 관리에는 어떤 점을 주의해야 할까?,글쿠나
,,,,,,,,,,,,14,B,음식 선택과 운동이 중요하다고 해. 건강한 식단과 꾸준한 운동이 필요해.,
,,,,,,,,,,,,15,C,그리고 정기적인 건강검진도 중요하다고 알려져 있어.,
,,,,,,,,,,,,16,A,글쿠나. 잔여콜레스테롤 관리에 신경 써야겠다.,글쿠나
,,,,,,,,,,,,17,B,맞아! 건강을 위해서라면 조금의 노력이 필요하지.,
,,,,,,,,,,,,18,C,하지만 건강한 삶을 위해서는 그런 노력이 꼭 필요하다는 거지.,
,,,,,,,,,,,,19,A,글쿠나. 건강을 위해서는 잔여콜레스테롤 관리가 중요한 거네.,글쿠나
,,,,,,,,,,,,20,B,맞아! 건강은 가장 소중한 자산이니까 많은 관심을 가져야 해.,
,,,,,,,,,,,,21,C,그렇지! 건강을 위해 노력하는 모습이 멋지다고 생각해!,
,,,,,,,,,,,,22,A,고마워! 우리 모두 건강하고 행복한 삶을 살아보자!,
,,,,,,,,,,,,23,B,응! 함께 건강을 지키며 행복한 일상을 만들어가자!,
,,,,,,,,,,,,24,C,응응! 건강한 일상을 위해 서로 응원하자!,
240678,0001,남자,20,0146,여자,20,,,,건강 및 식음료,두경부암,1,A,오늘 뉴스 보니까 두경부암 관련해서 이벤트가 있는 거 같더라,
