대화ID,화자A ID,화자A 성별,화자A 연령대,화자B ID,화자B 성별,화자B 연령대,화자C ID,화자C 성별,화자C 연령대,주제,키워드,발화 번호,발화자,발화,신조어
213588,0001,남자,20,0147,여자,20,,,,과학 기술,앨리슨 3000시리즈 전자동 변속기,1,A,앨리슨 3000시리즈 전자동 변속기 레알 좋아!,레알
,,,,,,,,,,,,2,B,응! 그거 들었어! 폐기물 관리에도 도움이 되는 거지?,
,,,,,,,,,,,,3,A,그래! 말레이시아에서도 사용하고 있대. 수거 효율도 높여주고 환경에도 좋아서 많이 사용하려고 해.,
,,,,,,,,,,,,4,B,맞아! 말레이시아에서 약 40%의 쓰레기와 폐기물을 처리하고 있잖아.,
,,,,,,,,,,,,5,A,맞아 맞아! 그리고 앨리슨의 자동 변속기가 장착된 환경차는 내구성도 좋고 유지보수 비용도 줄여주고 잔고장도 거의 없어 생산성도 높아!,
,,,,,,,,,,,,6,B,그러면 쓰레기와 폐기물을 매일 효율적으로 수거할 수 있겠네!,
,,,,,,,,,,,,7,A,그래! 그리고 앨리슨 3000시리즈 전자동 변속기가 장착된 히노의 500시리즈 트럭 50대를 운영하고 있어. 앞으로는 250대로 확대할 거래.,
,,,,,,,,,,,,8,B,와! 그렇게 많은 트럭을 운영하다니 레전드다.,
,,,,,,,,,,,,9,A,응! 앨리슨의 전자동 변속기는 레알루다가 신뢰할 만하다. 폐기물 관리 업체에 큰 도움이 되고 있어.,레알
,,,,,,,,,,,,10,B,앨리슨의 기술이 계속 발전하면 더 많은 사람들에게 도움이 될 거야.,
,,,,,,,,,,,,11,A,맞아! 앨리슨은 항상 최신 기술을 개발해서 많은 분야에서 사용되고 있어.,
,,,,,,,,,,,,12,B,앨리슨은 환경 문제에 대한 해결책을 제공하는데 큰 역할을 하고 있네.,
,,,,,,,,,,,,13,A,그래! 앞으로도 앨리슨의 기술이 더욱 발전하고 많은 사람들에게 도움이 되기를 기대해.,
,,,,,,,,,,,,14,B,앨리슨의 성공을 힘!,
,,,,,,,,,,,,15,A,고마워! 앨리슨 힘!,
,,,,,,,,,,,,16,B,힘!,
095404,0071,남자,20,0141,여자,20,,,,과학 기술,앱,1,A,앱 출시했어!,
,,,,,,,,,,,,2,B,와 박박! 어떤 앱이야?,박박
,,,,,,,,,,,,3,A,FIT 어시스트 앱이야.,
,,,,,,,,,,,,4,B,FIT 어시스트? 첨 들어봤는데 뭐하는 앱이야?,
,,,,,,,,,,,,5,A,여행자들을 위한 앱이야. 무료로 제작 공급 서비스를 해줘.,
