대화ID,화자A ID,화자A 성별,화자A 연령대,화자B ID,화자B 성별,화자B 연령대,화자C ID,화자C 성별,화자C 연령대,주제,키워드,발화 번호,발화자,발화,신조어
034409,0086,여자,30,0120,남자,30,,,,문화 생활 및 여가,재무제표 읽는 방법,1,A,헬롱! 최근에 재무제표 읽는 방법에 대해 알아봄?,
,,,,,,,,,,,,2,B,"응, 근데 어렵지 않아?",
,,,,,,,,,,,,3,A,아니야! '대한민국에서 제일 쉬운 7일 완성 재무제표 읽기'라는 책을 발견했어,
,,,,,,,,,,,,4,B,레알 쉽게 재무제표를 읽을 수 있는 방법이 있는 거야?,레알
,,,,,,,,,,,,5,A,그렇대! 이 책은 왕초보도 재무제표를 쉽게 읽을 수 있게 도와주는 방법을 알려줘,
,,,,,,,,,,,,6,B,"오, 그러면 어떤 내용이 나와있는 거야?",
,,,,,,,,,,,,7,A,"첫째 날에는 필수 회계어와 문법을 익히고, 둘째와 셋째 날에는 재무상태표 읽는 법을 배워",
,,,,,,,,,,,,8,B,그 다음은 뭐임?,
,,,,,,,,,,,,9,A,"넷째 날에는 손익계산서로 기업의 수익과 손실을 계산하고, 다섯째 날에는 현금흐름표를 확인해",
,,,,,,,,,,,,10,B,그리고 여섯째 날에는 재무제표를 어떻게 활용하는지 알려주는 거야?,
,,,,,,,,,,,,11,A,그렇지! 재무제표를 읽는 건 회사의 모든 정보를 파악하는 것과 같아,
,,,,,,,,,,,,12,B,그러면 나도 한 번 읽어봐야겠다!,
,,,,,,,,,,,,13,A,맞아! 나도 이번에 읽어봐야겠어,
,,,,,,,,,,,,14,B,같이 공부하면 더 재미있을 것 같아!,
,,,,,,,,,,,,15,A,그래! 같이 공부하면 더 효과적일 거야,
,,,,,,,,,,,,16,B,그러면 일주일 안에 재무제표를 능숙하게 읽을 수 있을 것 같아!,
078376,0090,남자,30,0159,여자,30,,,,문화 생활 및 여가,한지,1,A,한지에 대해 알고 있니?,
,,,,,,,,,,,,2,B,한지? 그게 뭐임?,
,,,,,,,,,,,,3,A,한지는 예로부터 우리나라에서 사용되는 전통 종이야. 유네스코 세계기록유산 중 하나래.,
,,,,,,,,,,,,4,B,세계기록유산 중에 한지가 있었어? 오우예 씨몬이네!,오우예 씨몬
,,,,,,,,,,,,5,A,"응, 훈민정음, 조선왕조실록, 승정원일기 등과 같이 13건이 전통 한지를 사용했어.",
,,,,,,,,,,,,6,B,와우내 글쿠나. 한지를 만드는 방법도 알아?,와우내;글쿠나
,,,,,,,,,,,,7,A,한지를 만들기 위해 조지서라는 관청이 설치됐어. 종이를 만들기 위한 공장이라고 생각하면 돼.,
,,,,,,,,,,,,8,B,조지서? 그게 머임?,머임
,,,,,,,,,,,,9,A,조지서는 종이를 만드는 관청이야. 세종이 조지소를 설치해서 종이를 만들었대.,
,,,,,,,,,,,,10,B,세종이 조지소를 설치했었어? 레게노다!,레게노
,,,,,,,,,,,,11,A,"응, 세종이 지장과 착하고 어진 관리를 뽑아서 종이 질이 좋았대.",
,,,,,,,,,,,,12,B,"세종이 직접 관리를 뽑았다니, 대단한 왕이었네!",
,,,,,,,,,,,,13,A,근데 130년 전에 일본인의 기록 이후로 관청의 흔적은 사라졌어.,
,,,,,,,,,,,,14,B,"아, 그래? 아쉽네.",
,,,,,,,,,,,,15,A,그래도 1892년에는 조선국진경에 조지서에 대한 언급이 있었어.,
