대화ID,화자A ID,화자A 성별,화자A 연령대,화자B ID,화자B 성별,화자B 연령대,화자C ID,화자C 성별,화자C 연령대,주제,키워드,발화 번호,발화자,발화,신조어
258353,0001,남자,20,0146,여자,20,,,,미용과 패션,항노화 제품,1,A,ㅎㅇㅎㅇ,
,,,,,,,,,,,,2,B,안뇽! 오늘 뭐해?,
,,,,,,,,,,,,3,A,나? 화장품 리뷰 보고 있어. 최근 항노화 제품에 관심이 생겼거든,
,,,,,,,,,,,,4,B,항노화 제품? 그게 ㅁㅇ?,ㅁㅇ
,,,,,,,,,,,,5,A,노화로 인해 피부가 나이 드러나는 거야. 그래서 젊은 모습을 유지하기 위한 제품들이래,
,,,,,,,,,,,,6,B,아~ 그런 거구나. 그러면 어떤 제품들이 있어?,
,,,,,,,,,,,,7,A,스킨케어 제품이 대표적이지. 크림이나 에센스 등이 있는데 피부에 영양을 공급하고 주름을 개선해줘,
,,,,,,,,,,,,8,B,와~ 피부에 영양 공급이라니 대박이다!,대박
,,,,,,,,,,,,9,A,그렇지! 그리고 헤어케어 제품도 있는데 머리카락을 강화시켜주고 노화로 인한 탈모를 예방해줘,
,,,,,,,,,,,,10,B,탈모 예방까지 할 수 있는 제품이라니 레알 킹갓인데?,레알;킹갓인데
,,,,,,,,,,,,11,A,그래! 요즘은 개인위생과 더불어 젊음을 유지하는 것도 중요하게 생각되고 있어,
,,,,,,,,,,,,12,B,나도 꼭 한 번씩 사용해봐야겠다. 어디에서 구매할 수 있을까?,
,,,,,,,,,,,,13,A,인터넷 쇼핑몰이나 화장품 전문 매장에서 쉽게 구할 수 있어!,
,,,,,,,,,,,,14,B,글쿠나! 고마워~ 지금부터 항노화 제품에 대해서 더 알아볼게!,글쿠나
,,,,,,,,,,,,15,A,좋아~ 나도 더 자세히 알아봐야겠어. 같이 공유하면 좋을 텐데!,
,,,,,,,,,,,,16,B,그래! 항노화 제품으로 더 젊고 아름다운 모습을 유지하자!,
062136,0025,여자,30,0117,남자,30,,,,미용과 패션,팬톤 2023컬러 - 비바 마젠타,1,A,패션 아이템 포인트로 비바 마젠타 색상의 머플러를 둘러볼까하는데ㅋㅋ. 너무 튀어보일까?ㅋㅋ,
,,,,,,,,,,,,2,B,뎨동한데ㅋㅋ. 색상 이름이 넘나 어렵게 느껴지는건 나뿐이야?ㅋㅋ 비바 마젠타는 대체 무슨 색상임?ㅋㅋ,뎨동;넘나
,,,,,,,,,,,,3,A,비바 마젠타는 버건디 색으로 보이지만 레드에 가까운 색상이랄까?ㅋㅋ 살짝 보라빛이 감도는 크림슨 레드톤의 오묘한 컬러야ㅋㅋ,
,,,,,,,,,,,,4,B,무슨색상인지는 모르겠지만 어쨋든 레드계열인건 알겠네ㅋㅋ. 도대체 그 색상은 어디서 나온 색상임?ㅋㅋ,
,,,,,,,,,,,,5,A,이거 이번 팬톤에서 선정된 2023 컬러잖아ㅋㅋ,
,,,,,,,,,,,,6,B,나는 너처럼 디자인과 안나와서 몰라ㅠㅠ. 팬톤은 또 뭔데ㅠㅠ,
,,,,,,,,,,,,7,A,"팬톤은 미국 뉴저지 소재의 색상 전문 연구, 개발 기업이야ㅋㅋ",
,,,,,,,,,,,,8,B,그런곳도 있었어?ㅋㅋ 디자인 알못인 나에게는 신세계 같은 곳이네ㅋㅋ,알못
,,,,,,,,,,,,9,A,팬톤에서는 매년마다 1가지의 색상을 선정해서 올해의 컬러로 선정하는데 이번에 선정된 색이 바로 비바 마젠타인거임ㅋㅋ,
,,,,,,,,,,,,10,B,비바 마젠타라는 색상은 어케 생겨난거임?ㅋㅋ,어케
,,,,,,,,,,,,11,A,세계에서 가장 강하고 밝은 염료 중 하나인 코치닐의 레드에서 영감을 받아 만들었대ㅋㅋ,
,,,,,,,,,,,,12,B,그러니 내가 모를만도 하네ㅋㅋ. 계속 들어보니 엄청 튀는 색깔인거 같은데ㅋㅋ. 이걸 패션에 어떻게 코디함?ㅋㅋ,
,,,,,,,,,,,,13,A,여자라면 스카프로 포인트 주는것도 예쁘고 남자라면 니트나 셔츠로 강렬한 인상을 주는것도 나쁘지 않지ㅋㅋ,
,,,,,,,,,,,,14,B,듣고보니 그럴싸하기도 하네ㅋㅋ. 나도 그럼 올해의 컬러라고하니 비바 마젠타 색상으로 패션 아이템 1개를 구입해볼까ㅋㅋ,
,,,,,,,,,,,,15,A,고르고나면 나한테 사진 보내줘봐ㅋㅋ. 내가 갠츈한지 평가해줄게ㅋㅋ,갠츈
,,,,,,,,,,,,16,B,이욜ㅋㅋ. 진짜?ㅋㅋ 너의 안목이라면 믿을만하지ㅋㅋ. 그럼 찾아보고 갠톡으로 보낼게!ㅋㅋ,갠톡;이욜
040924,0088,여자,30,0114,남자,30,,,,미용과 패션,뷰티셀렉션,1,A,헬롱! 뷰티셀렉션에 대해서 들어봄?,헬롱
,,,,,,,,,,,,2,B,"응, 뷰티셀렉션은 뷰티와 패션 관련 상품을 판매하는 기업이야. 최근에 채용도 한다더라",
,,,,,,,,,,,,3,A,"오, 그래? 어떤 직군을 채용하는 거야?",
,,,,,,,,,,,,4,B,"브랜드 매니저, 마케터, 온라인 MD, 디자이너, 그리고 Tech 분야의 개발자들도 채용한다고 하더라",
,,,,,,,,,,,,5,A,"대규모 채용이라니, 그만큼 성장하고 있는 기업인가봐",
,,,,,,,,,,,,6,B,마좌 뷰티셀렉션은 매출이 높아서 영업이익률도 좋다고 하더라,마좌
,,,,,,,,,,,,7,A,"흐음, 그렇담 복리후생 제도도 좋을 것 같은데?",
,,,,,,,,,,,,8,B,"마좌 뷰티셀렉션은 자사 제품 제공과 도서 지원, 자기 개발 비용 지원 등 다양한 복리후생을 제공한대",마좌
,,,,,,,,,,,,9,A,글쿠나. 그러면 채용 절차는 어떻게 되는 거야?,글쿠나
,,,,,,,,,,,,10,B,"채용 절차는 입사 지원부터 1차 서류전형, 2차 면접으로 진행되는데, 면접은 실무자 면접과 임원 면접으로 두 번 진행된다고 해",
,,,,,,,,,,,,11,A,"글쿠나, 면접도 두 번이나 하는 거면 경쟁이 치열하겠다",글쿠나
,,,,,,,,,,,,12,B,맞아 경쟁이 치열할 것 같아. 근데 뷰티셀렉션은 최고의 인재를 모아 성장하고자 하는 기업이니까,
,,,,,,,,,,,,13,A,ㅇㅇ 그러면 좋은 인재들이 많이 들어올 것 같아,
,,,,,,,,,,,,14,B,그렇게 생각해. 뷰티셀렉션은 기업과 개인이 같이 성장할 수 있는 환경을 만들기 위해 노력하고 있어,
,,,,,,,,,,,,15,A,그런 점이 좋네. 뷰티셀렉션에 지원해볼까 생각 중이야,
,,,,,,,,,,,,16,B,"응, ㅎㅇㅌ! 뷰티셀렉션에서 좋은 결과 있기를 바래!",
107204,0078,남자,20,0148,여자,20,,,,미용과 패션,스킨케어,1,A,스킨케어 제품 구매할 때 브랜드 영향력이 중요해?,
,,,,,,,,,,,,2,B,"아니, 브랜드 상관없이 제품을 선택하고 구매하는 사람들이 많대",
,,,,,,,,,,,,3,A,그래? 그러면 브랜드 영향을 받지 않는 이유가 뭘까?,
,,,,,,,,,,,,4,B,오픈서베이가 남성 뷰티 카테고리 리포트에서 연령대가 낮을수록 브랜드 상관없이 제품을 선택하고 구매하는 비율이 높다고 해,
,,,,,,,,,,,,5,A,글쿠나. 그러면 브랜드 영향을 받지 않는 사람들은 어떤 기준으로 제품을 고르는 거야?,글쿠나
,,,,,,,,,,,,6,B,리포트에 따르면 브랜드 상관없이 구매하는 사람들은 미리 브랜드를 정해두지 않고 제품을 선택하는 비율이 높대,
,,,,,,,,,,,,7,A,글쿠나. 그러면 브랜드 선택 후 그 브랜드 내에서 제품을 구매하는 사람들은 얼마나 될까?,글쿠나
,,,,,,,,,,,,8,B,리포트에 따르면 브랜드 선택 후 그 브랜드 내에서 제품을 구매하는 비율은 20%래,
,,,,,,,,,,,,9,A,연령대에 따라서도 브랜드 영향을 받지 않는 사람들의 비율이 다르다고 했지?,
,,,,,,,,,,,,10,B,맞아. 20대 남성은 40% 이상이 브랜드 상관없이 제품을 선택해서 구매하고 40~50대는 30% 미만이래,
,,,,,,,,,,,,11,A,연령대가 낮을수록 브랜드 영향을 받지 않는 비율이 높은 건가봐,
,,,,,,,,,,,,12,B,그렇게 보이네. 브랜드 영향을 받지 않는 사람들은 제품 자체에 더 집중하는 것 같아,
,,,,,,,,,,,,13,A,그러면 브랜드 영향을 받지 않는 사람들은 어떤 요소를 고려해서 제품을 선택하는 거야?,
,,,,,,,,,,,,14,B,리포트에 따르면 브랜드는 주요 고려 요인에 포함되지 않았대,
,,,,,,,,,,,,15,A,글쿠나. 브랜드보다는 제품 자체의 효과나 성분에 더 관심이 있는 건가봐,글쿠나
,,,,,,,,,,,,16,B,그렇게 생각하면 될 것 같아,
259890,0001,남자,20,0147,여자,20,,,,미용과 패션,롤라비,1,A,롤라비 브랜드 너무 핫하다!,핫하다
,,,,,,,,,,,,2,B,그래! 제니퍼 애니스톤이 홍보하니까 더 핫해졌어,핫해
,,,,,,,,,,,,3,A,롤라비 제품들은 모두 천연물로 만들어졌다더라,
,,,,,,,,,,,,4,B,ㄹㅇ 천연물이라면 더 안심하고 사용할 수 있겠다,ㄹㅇ
,,,,,,,,,,,,5,A,그리고 이제 롤라비가 얼타 뷰티에서 판매된다는 소식을 들었어,
,,,,,,,,,,,,6,B,얼타 뷰티는 유명한 화장품 유통기업이잖아! 대박이다,대박
,,,,,,,,,,,,7,A,맞아! 롤라비 제품들이 온라인과 오프라인에서 쉽게 구매할 수 있게 되었어,
,,,,,,,,,,,,8,B,롤라비 제품들은 얼타 뷰티 매장에서 얼마나 파는지 궁금하네,
,,,,,,,,,,,,9,A,"매장에서는 1,350여 개의 매장에서 판매된다고 하더라",
,,,,,,,,,,,,10,B,충공! 와! 그렇게 많은 매장에서 판매되면 많은 사람들이 사용하게 될 것 같아,충공
,,,,,,,,,,,,11,A,제니퍼 애니스톤도 롤라비가 이렇게 인기가 많아진 것을 축하했어,
,,,,,,,,,,,,12,B,제니퍼 애니스톤의 명품 헤어케어 제품을 사용해보고 싶다,
,,,,,,,,,,,,13,A,나도! 롤라비 제품들을 이제 얼타 뷰티에서 구매할 수 있을 텐데,
,,,,,,,,,,,,14,B,롤라비 제품들이 얼타 뷰티에서 판매되면 가격도 나쁘지 않을 것 같아,
,,,,,,,,,,,,15,A,그렇지! 롤라비 제품들을 저렴하게 얻을 수 있게 되었으니까,
,,,,,,,,,,,,16,B,롤라비 제품들을 사용하면 제니퍼 애니스톤처럼 머리가 매끈해질지 기대되는군!,
058832,0078,남자,20,0150,여자,20,,,,미용과 패션,한복,1,A,한복 할인 이벤트 언제까지야?,
,,,,,,,,,,,,2,B,9월 27일까지야! 최대 80% 할인이라니까 놓치면 후회할 거야ㅋㅋ,
,,,,,,,,,,,,3,A,와 렬루? 그러면 내일 가야겠다ㅎㅎ,렬루
,,,,,,,,,,,,4,B,한복 컬렉션도 있어! 예쁜 한복들이 많아서 고르기 힘들어ㅠㅠ,
,,,,,,,,,,,,5,A,한복은 요즘 핫한 아이템이야. K-컬처의 영향력이 크다고 해서 더 인기가 많아지고 있어,
,,,,,,,,,,,,6,B,맞아! 전통적인 한복에 실용성을 더한 디자인들이 인기라더라,
,,,,,,,,,,,,7,A,한복 브랜드도 많이 생겼지? 어떤 브랜드가 좋아?,
,,,,,,,,,,,,8,B,"나는 최근에 무무즈에서 검색해봤는데, 다양한 브랜드들이 있더라. 어떤 스타일이 좋아?",
,,,,,,,,,,,,9,A,나는 알록달록한 색감과 실용적인 디자인이 좋아. 예쁜 한복을 찾고 있어,
,,,,,,,,,,,,10,B,그러면 추천해줄만한 한복 브랜드가 있어. 어떤 스타일이 좋아?,
,,,,,,,,,,,,11,A,난 현대적이면서도 전통적인 스타일이 좋아. 어떤 브랜드가 있어?,
,,,,,,,,,,,,12,B,한복 브랜드 중에 '한복스토리'가 좋아. 현대적인 디자인에 전통적인 갬성이 느껴져,갬성
,,,,,,,,,,,,13,A,한복스토리? 그러면 그 브랜드에서 한복을 사러 갈게!,
,,,,,,,,,,,,14,B,굿굿! 한복스토리에서 예쁜 한복을 골라봐. 할인도 많이 되니까 좋을 거야,
,,,,,,,,,,,,15,A,고마워! 내일 한복스토리 가서 한복 사러 갈게ㅎㅎ,
,,,,,,,,,,,,16,B,잘 선택해! 한복 입고 예쁘게 추석을 보내길 바래!,
257608,0001,남자,20,0147,여자,20,,,,미용과 패션,미용기기,1,A,오늘은 미용기기에 대해 얘기해볼까?,
,,,,,,,,,,,,2,B,응! 요즘 미용기기 관련 뉴스를 많이 보더라고.,
,,,,,,,,,,,,3,A,마좌 중국에서 미용기기 판매 부적격 판정을 내렸대.,마좌
,,,,,,,,,,,,4,B,레알? 그래서 어떤 문제가 있었던 거야?,레알
,,,,,,,,,,,,5,A,충전부 접촉 불량이나 입력 전원 문제 등 여러 가지 문제였어.,
,,,,,,,,,,,,6,B,그러면 그런 제품을 살 때 조심해야겠다.,
,,,,,,,,,,,,7,A,마좌 소비자가 안전을 위해 주의해야해.,마좌
,,,,,,,,,,,,8,B,그런데 미용기기 중에 좋은 제품도 많이 있지?,
,,,,,,,,,,,,9,A,웅웅 좋은 브랜드의 제품을 선택하면 안전하게 사용할 수 있어.,웅웅
,,,,,,,,,,,,10,B,글쿠나. 어떤 브랜드가 좋아?,글쿠나
,,,,,,,,,,,,11,A,나는 페이셜 스티머로 콘디즈포를 추천해!,
,,,,,,,,,,,,12,B,페이셜 스팀으로 피부 관리하는 거지?,
,,,,,,,,,,,,13,A,마좌 피부 보호에 좋아. 강화 절연 처리도 잘 되어있어서 안전해.,마좌
,,,,,,,,,,,,14,B,음.. 나도 한 번 사봐야겠다.,
,,,,,,,,,,,,15,A,좋은 선택일 거야! 피부가 좋아지면 좋겠다.,
,,,,,,,,,,,,16,B,"응, 고마워! 앞으로 미용기기 구매할 때 신중하게 선택할게.",
171312,0097,여자,30,0118,남자,30,,,,미용과 패션,화장품,1,A,오늘 화장품 쇼핑갈래?,
,,,,,,,,,,,,2,B,그래! 어디서 사는 거야?,
,,,,,,,,,,,,3,A,신세계 백화점 가자!,
,,,,,,,,,,,,4,B,너 어떤 브랜드 좋아해?,
,,,,,,,,,,,,5,A,에뛰드하우스가 좋아!,
,,,,,,,,,,,,6,B,나는 미샤가 굿굿!,
,,,,,,,,,,,,7,A,우리 화장품 얘기 많이 해보자,
,,,,,,,,,,,,8,B,좋아! 우리 스킨케어부터 얘기해보자,
,,,,,,,,,,,,9,A,내 피부타입은 중성이야,
,,,,,,,,,,,,10,B,나는 건성이야 ㅠㅠ,
,,,,,,,,,,,,11,A,건조한 피부에 좋은 제품 추천해줄까?,
,,,,,,,,,,,,12,B,좋아~ 고마워ㅎㅎ,
,,,,,,,,,,,,13,A,이거 괜찮아 보여! 토너랑 로션 세트야,
,,,,,,,,,,,,14,B,가격도 괜찮아 보이는데 사야겠다!,
,,,,,,,,,,,,15,A,화장품이 도약하고 있는데 좋은 것 같아,
,,,,,,,,,,,,16,B,"응, 화장품 산업이 계속 발전하면 좋겠다",
019144,0039,남자,20,0146,여자,20,,,,미용과 패션,폐플라스틱 소재 옷,1,A,요즘 지구 환경이 심하게 오염 되는 것 같아서 맴찢이야 ㅠㅠ.,맴찢
,,,,,,,,,,,,2,B,맞아. 이렇게 가다간 지구가 못 버틸 것 같아.,
,,,,,,,,,,,,3,A,우리가 일상 속에서 환경을 보호할 방법이 없을까?,
,,,,,,,,,,,,4,B,요즘 환경 보호하려고 폐플라스틱으로 옷을 만들어 입기도 하더라.,
,,,,,,,,,,,,5,A,오~ 그런 옷은 어떻게 만들 수 있는건데?,
,,,,,,,,,,,,6,B,"쓰고 버린 플라스틱 병을 모아서 세척하고, 잘게 자르고, 녹이고, 가공해서 옷 소재로 활용한대.",
,,,,,,,,,,,,7,A,글쿤. 그렇게 하면 환경에 어떤 도움이 되는데?,글쿤
,,,,,,,,,,,,8,B,탄소 배출을 감축시키는 효과가 있대.,
,,,,,,,,,,,,9,A,탄소 배출량을 얼마나 감소시킬 수 있는데?,
,,,,,,,,,,,,10,B,"일단 저렇게 만든 친환경 섬유를 리젠이라고 부르는데, 이 리젠은 일반 폴리에스터보다 탄소 배출량이 67%나 줄어든대.",
,,,,,,,,,,,,11,A,와~ 핵이득이네. 우리나라에도 그런 걸 만드는 기업이 있어?,핵이득
,,,,,,,,,,,,12,B,우리나라에서는 대표적으로 효성티앤씨라는 기업에서 저런 친환경 옷감을 만들고 있대.,
,,,,,,,,,,,,13,A,그렇구나. 그래서 사람들이 저 친환경 옷을 많이 입는대?,
,,,,,,,,,,,,14,B,"전세계 기준으로 2021년에 친환경 소재 시장 규모가 약 489억원이고, 2028년에 약 866억 정도로 성장할 전망이래.",
,,,,,,,,,,,,15,A,성장이 그렇게 빠르진 않네 ㅠㅠ. 그래도 앞으로 사람들이 이런 옷 많이 입어서 환경을 보호할 수 있었으면 좋겠다.,
,,,,,,,,,,,,16,B,ㅇㅈㅇㅈ. 그나저나 나 이제 일하러 가봐야 해서 이따 마저 얘기하자.,
,,,,,,,,,,,,17,A,그래. 일 끝나면 연락해. 이따 보자 ㅂㅂ~.,
173076,0102,여자,20,0102,남자,20,,,,미용과 패션,성북스마트패션산업센터,1,A,"앗, 성북스마트패션산업센터에서 봄맞이 협업 기획상품을 선보였대!",
,,,,,,,,,,,,2,B,와 레알? 그러면 무슨 상품이야?,레알
,,,,,,,,,,,,3,A,이번에 선보인 상품은 'In Home' 주제의 패밀리 룩과 원마일웨어래.,
,,,,,,,,,,,,4,B,패밀리 룩이랑 원마일웨어 둘 다 뭐임,뭐임
,,,,,,,,,,,,5,A,패밀리 룩은 가족들이 함께 입을 수 있는 옷이야. 원마일웨어는 실내에서 입기 편한 옷이야.,
,,,,,,,,,,,,6,B,"아, 이해했어. 그러면 어떤 브랜드랑 협업한 거야?",
,,,,,,,,,,,,7,A,성북구 공동브랜드 'URZ(유어즈)'와 협업했어.,
,,,,,,,,,,,,8,B,URZ? 그게 ㅁㅇ?,ㅁㅇ
,,,,,,,,,,,,9,A,URZ는 Unique Reality Zone(당신을 위한 가장 특별한 순간)의 줄임말이야.,
,,,,,,,,,,,,10,B,"아, 고부가가치 상품 개발이랑 유통판로개척을 위해 런칭한 공동브랜드구나.",
,,,,,,,,,,,,11,A,마좌 성북스마트패션산업센터는 최첨단 스마트팩토리 기반시설을 갖춰서 다양한 업무가 가능하다고 하더라.,마좌
,,,,,,,,,,,,12,B,와우내 그렇게 혁신적인 시설이라니 레게노다!,레게노;와우내
,,,,,,,,,,,,13,A,"응, 그래서 올봄에는 가족들과 함께 편안한 라운지 웨어와 트레이닝 세트를 입을 수 있게 기획했대.",
,,,,,,,,,,,,14,B,편안한 옷을 입고 가족들과 함께 시간을 보낼 수 있으면 좋겠네!,
,,,,,,,,,,,,15,A,마좌 옷도 중요하지만 가족과 함께하는 시간이 더 중요하니까!,마좌
,,,,,,,,,,,,16,B,그렇지. 성북스마트패션산업센터와 URZ가 더 많은 사람들에게 좋은 옷과 좋은 시간을 선사했으면 좋겠다!,
116076,0084,여자,20,0109,남자,20,,,,미용과 패션,피부 관리,1,A,최근 날씨가 더워지고 습도도 높아져서 피부 관리가 어려워.,
,,,,,,,,,,,,2,B,맞아 여름철에는 피부가 더 민감해지는 거 같아.,
,,,,,,,,,,,,3,A,그래서 피지 컨트롤 제품을 사용해보려고 생각 중이야.,
,,,,,,,,,,,,4,B,피지 컨트롤 제품은 피부에 좋은 영향을 줄 수 있어.,
,,,,,,,,,,,,5,A,근데 피지 분비가 너무 많으면 트러블이 생길 수도 있잖아.,
,,,,,,,,,,,,6,B,맞아 피부에 적당한 피지 분비가 중요해.,
,,,,,,,,,,,,7,A,여름철에는 자외선 차단제도 꼭 발라야 해.,
,,,,,,,,,,,,8,B,ㅇㅇ 자외선 지수가 높은 시기에는 더 신경 써야지.,
,,,,,,,,,,,,9,A,피부에 좋은 영양제나 보습 크림도 사용해보는 건 ㅇㄸ?,
,,,,,,,,,,,,10,B,좋은 생각이야. 피부에 영양을 공급해주는 게 중요하니까.,
,,,,,,,,,,,,11,A,그리고 땀을 많이 흘리면서 수분을 충분히 섭취하는 것도 중요해.,
,,,,,,,,,,,,12,B,마좌 수분은 피부 건강에 큰 영향을 줘.,마좌
,,,,,,,,,,,,13,A,여름철에는 피부에 자극을 주는 화장품은 자제하는 게 좋겠지?,
,,,,,,,,,,,,14,B,마좌 피부에 부담을 주는 화장품은 피하고 신중하게 선택해야 해.,마좌
,,,,,,,,,,,,15,A,여름철에는 피부 관리에 더 신경 써야겠다.,
,,,,,,,,,,,,16,B,ㅇㅋㅇㅋ 건강한 피부를 유지하기 위해서는 꾸준한 관리가 필요해.,
