대화ID,화자A ID,화자A 성별,화자A 연령대,화자B ID,화자B 성별,화자B 연령대,화자C ID,화자C 성별,화자C 연령대,주제,키워드,발화 번호,발화자,발화,신조어
231289,0001,남자,20,0150,여자,20,,,,스포츠 및 e스포츠,테니스,1,A,김연아 선수 응원해 ㅋㅋ,
,,,,,,,,,,,,2,B,김연아 선수는 레알 대단해 ㅠ,레알
,,,,,,,,,,,,3,A,맞아 ㅋㅋ 그런데 최민정 선수도 잘 알려져 있어?,
,,,,,,,,,,,,4,B,최민정 선수는 테니스 선수 맞아?,
,,,,,,,,,,,,5,A,아니야 ㅋㅋ 최민정 선수는 탁구 선수야,
,,,,,,,,,,,,6,B,아 그래 ㅋㅋ 탁구는 한국이 강한 편이지?,
,,,,,,,,,,,,7,A,응 맞아 ㅋㅋ 한국 탁구는 세계적으로 핫해,핫하다
,,,,,,,,,,,,8,B,글쿠나 ㅋㅋ 그럼 최민정 선수도 대단하겠다,글쿠나
,,,,,,,,,,,,9,A,맞아 ㅋㅋ 아 그런데 너는 어떤 스포츠 좋아해?,
,,,,,,,,,,,,10,B,나는 축구를 좋아해 ㅋㅋ,
,,,,,,,,,,,,11,A,축구는 레알 인기 있는 스포츠야,레알
,,,,,,,,,,,,12,B,응 맞아 ㅋㅋ 한국 축구 대표팀도 열심히 하는 편이야,
,,,,,,,,,,,,13,A,맞아 ㅋㅋ 대한민국 ,
,,,,,,,,,,,,14,B, ㅎㅎ,
,,,,,,,,,,,,15,A,그럼 다음에 같이 경기 보러 가자,
,,,,,,,,,,,,16,B,굿굿! ㅋㅋ 그때까지 다른 스포츠도 좀 알아보자,
229301,0001,남자,20,0144,여자,20,,,,스포츠 및 e스포츠,마스터스,1,A,마스터스를 볼래?,
,,,,,,,,,,,,2,B,나? 그럼 같이 보자! ㅋㅋ,
,,,,,,,,,,,,3,A,임성재 선수 기대해도 될까?,
,,,,,,,,,,,,4,B,당근이지! 그래도 힘들거 같아 ㅠㅠ,당근
,,,,,,,,,,,,5,A,그래도 마스터스에서 우승하면 대단하겠다,
,,,,,,,,,,,,6,B,맞아! 우승하면 그린재킷을 입을 수 있어,
,,,,,,,,,,,,7,A,마스터스는 한국 선수가 우승한 적이 없지?,
,,,,,,,,,,,,8,B,맞아 한국 선수가 우승한 적 없어 ㅠㅠ,
,,,,,,,,,,,,9,A,그렇다면 임성재도 희망이 있는거야?,
,,,,,,,,,,,,10,B,응! 임성재는 잘하니까 가능성이 있어,
,,,,,,,,,,,,11,A,마스터스에서 아시아 선수가 우승하면 대단하겠다,
,,,,,,,,,,,,12,B,맞아! 우리 아시아에서 자란 선수들을 응원해야지,
,,,,,,,,,,,,13,A,그러면 임성재만 응원하자!,
,,,,,,,,,,,,14,B,그래! 임성재 !!,
,,,,,,,,,,,,15,A,오늘도 임성재 응원하러 갈까?,
,,,,,,,,,,,,16,B,그래! 오늘도 함께 응원하자! ㅋㅋ,
134340,0094,남자,30,0152,여자,30,,,,스포츠 및 e스포츠,골프,1,A,오늘은 골프 대회 얘기하자,
,,,,,,,,,,,,2,B,"응, 어떤 대회인가요?",
,,,,,,,,,,,,3,A,US오픈 골프대회야,
,,,,,,,,,,,,4,B,US오픈? 그거 유명한 대회잖아,
,,,,,,,,,,,,5,A,맞아 남자 골프 시즌 세 번째 메이저 대회래,
,,,,,,,,,,,,6,B,그럼 타이거 우즈는 출전 못하겠네,
,,,,,,,,,,,,7,A,ㅇㅋㅇㅋ 부상 때문에 출전 못하대,
,,,,,,,,,,,,8,B,그럼 욘 람과 브룩스 켑카는 출전하나?,
