대화ID,화자A ID,화자A 성별,화자A 연령대,화자B ID,화자B 성별,화자B 연령대,화자C ID,화자C 성별,화자C 연령대,주제,키워드,발화 번호,발화자,발화,신조어
093978,0074,남자,20,0146,여자,20,,,,"여행, 관광 및 명소",백제,1,A,백제 관광지 추천해줘!,
,,,,,,,,,,,,2,B,부여에 있는 백제 유적지가 좋아!,
,,,,,,,,,,,,3,A,부여에는 뭐가 있어?,
,,,,,,,,,,,,4,B,백제문화단지와 백제역사공원이 핫해!,핫해
,,,,,,,,,,,,5,A,백제문화단지에서 뭐 볼 수 있어?,
,,,,,,,,,,,,6,B,백제문화단지에는 백제궁전과 백제미술관이 있어!,
,,,,,,,,,,,,7,A,백제궁전에서는 무슨 전시가 있어?,
,,,,,,,,,,,,8,B,지금은 세계유산백제 전시회를 하고 있어!,
,,,,,,,,,,,,9,A,전시회는 언제까지 하나요?,
,,,,,,,,,,,,10,B,내년 1월 30일까지야!,
,,,,,,,,,,,,11,A,입장료는 얼마인가요?,
,,,,,,,,,,,,12,B,무료 관람이야! 기회를 놓치지 말아야 해!,
,,,,,,,,,,,,13,A,백제역사지구도 가볼만한 곳인가요?,
,,,,,,,,,,,,14,B,"응, 백제역사지구도 유네스코 세계유산으로 등재됐어!",
,,,,,,,,,,,,15,A,부여 여행 가보고 싶어!,
,,,,,,,,,,,,16,B,부여는 렬루다가 아름다운 곳이야! 꼭 가보세요!,렬루
227218,0000,남자,10,0000,남자,10,,,,"여행, 관광 및 명소",트립비토즈,1,A,이번 여름 휴가 어디로 갈까?,
,,,,,,,,,,,,2,B,트립비토즈에서 추천하는 여행지가 있더라!,
,,,,,,,,,,,,3,A,레알? 뭐뭐가 있는데?,레알
,,,,,,,,,,,,4,B,트립비토즈가 2023년 데이터 분석해서 막바지 여름 휴가 가기 좋은 지역 1위부터 10위까지 공개했어.,
,,,,,,,,,,,,5,A,와 어디가 1위일까?,
,,,,,,,,,,,,6,B,울산광역시 중구야. 리드타임이 평균 약 6.4일이래.,
,,,,,,,,,,,,7,A,울산 중구는 어떰? 가격도 합리적인가?,
,,,,,,,,,,,,8,B,"울산 중구는 울산 내 인구밀도 최대의 도심부로 울산공항 인근에 있고, 가격도 합리적인 3성~3.5성급 호텔이 많아서 관광하기 좋아.",
,,,,,,,,,,,,9,A,그럼 2위는 어디야?,
,,,,,,,,,,,,10,B,부산광역시 사하구야. 리드타임은 약 6.7일이래.,
,,,,,,,,,,,,11,A,사하구도 가격이 합리적이긴 하겠지?,
,,,,,,,,,,,,12,B,역시 김해국제공항 인근이라서 편하게 다녀올 수 있어.,
,,,,,,,,,,,,13,A,다른 도시들은 어떰?,
