대화ID,화자A ID,화자A 성별,화자A 연령대,화자B ID,화자B 성별,화자B 연령대,화자C ID,화자C 성별,화자C 연령대,주제,키워드,발화 번호,발화자,발화,신조어
037862,0003,여자,30,0119,남자,30,,,,정치,보이스피싱 처벌수위 강화,1,A,보이스피싱 같은 거 빨리 좀 뿌리 뽑혔음 좋겠다ㅜ,
,,,,,,,,,,,,2,B,그러게. 진짜 보이스피싱 전화나 문자 오면 진짜 빡쳐... 처벌이 낮으니까 계속 하는 건가,빡치다
,,,,,,,,,,,,3,A,그럴수도. 그래서 그런지 이번에 법 개정해서 처벌 수위 대폭 강화 시킨다고 하더라.,
,,,,,,,,,,,,4,B,"오, 듣던 중 반가운 소식! 개정안은 통과 된 거야?",
,,,,,,,,,,,,5,A,ㅇㅇ 2월 21일에 통신사기피해환급법 개정안 의결했더라ㅋ,
,,,,,,,,,,,,6,B,넘나 좋군ㅋㅋ. 보이스피싱 처벌 수위가 얼마나 올라가?,넘나
,,,,,,,,,,,,7,A,보이스피싱범한테 1년 이상의 유기징역 또는 범죄수익의 3배 이상 5배 이하에 달하는 벌금을 부과할 수 있게 됐대ㅋ,
,,,,,,,,,,,,8,B,잘됐네ㅋㅋ. 기존 법은 어느 정도였는데?ㅋ,
,,,,,,,,,,,,9,A,원래는 10년 이하의 징역 또는 2000만원 이하의 벌금이었대ㅋ,
,,,,,,,,,,,,10,B,"앞으론 확실히 더 많이 징역 살고, 더 많이 벌금 낼 수 있게 되겠군ㅋㅋ. 그거 말고도 또 다른 처벌도 있어?",
,,,,,,,,,,,,11,A,원래 처벌규정이 없었던 단순 조력행위도 이제는 5년 이하의 징역 또는 5000만원 이하의 벌금을 부과한다고 하더라ㅋ,
,,,,,,,,,,,,12,B,잘됐네! 돈 많이 번다고 나쁜 짓인 거 알면서도 돕는 인간도 사라지겠네ㅋ,
,,,,,,,,,,,,13,A,어ㅋ. 그만큼 앞으로는 수상한 알바는 더 조심해야겠지ㅋ. 세상에 쉽게 돈 버는 건 없으니ㅋㅋ,
,,,,,,,,,,,,14,B,그건 당연한 소리지ㅋ. 피해자들은 위한 법은 없어?,
,,,,,,,,,,,,15,A,있어ㅋ. 직접 만나서 돈을 주고 받는 대면편취형 보이스피싱을 당한 사람들을 구제하는 법이 이번에 새로 생겼더라.,
,,,,,,,,,,,,16,B,다행이다ㅋ. 물론 사기 당하는 사람이 아예 없으면 더 좋겠지만 이런 법이 있어야 범죄자들도 더 줄어들겠지ㅋ,
128834,0090,여자,30,0117,남자,30,,,,정치,지방자치법,1,A,지방자치법 위반은 어떤 거야?,
,,,,,,,,,,,,2,B,지방자치법은 지방정부가 자치권을 행사하는 법이야,
,,,,,,,,,,,,3,A,그럼 대전시 의원은 왜 그런 위반을 했을까?,
,,,,,,,,,,,,4,B,대전시 의원은 자치법을 몰라서 그런 것 같아,
,,,,,,,,,,,,5,A,그래서 의회 윤리위원회에서 어떤 결정을 내릴 거야?,
,,,,,,,,,,,,6,B,의회 윤리위원회에서 결정되기 전까지는 확정되지 않을 거야,
,,,,,,,,,,,,7,A,글쿠나. 그럼 보궐 선거는 언제 치뤄질까?,글쿠나
,,,,,,,,,,,,8,B,보궐 선거는 대선과 같이 12월 19일에 치뤄질 예정이야,
,,,,,,,,,,,,9,A,대선과 같이 치뤄진다니까 큰 이슈가 될 것 같아,
,,,,,,,,,,,,10,B,ㅇㅋㅇㅋ 대전시의회 정문철 의원의 주소지 이전 문제도 큰 이슈였지,
,,,,,,,,,,,,11,A,글쿠나. 근데 현역 시의원들은 어떻게 생각하고 있을까?,글쿠나
,,,,,,,,,,,,12,B,현역 시의원들은 의원 감싸기 비난을 받을까봐 조심하고 있을 것 같아,
,,,,,,,,,,,,13,A,글쿠나. 그럼 현역 시의원들은 퇴직 조치를 받을까?,글쿠나
,,,,,,,,,,,,14,B,퇴직 조치가 합당하다는 입장으로 정리되었으니 받을 가능성이 높을 것 같아,
,,,,,,,,,,,,15,A,글쿠나. 그럼 다른 도시의 의원들은 어떻게 생각하고 있을까?,글쿠나
,,,,,,,,,,,,16,B,다른 도시의 의원들도 이 문제에 대해 관심을 가지고 있을 것 같아,
256136,0001,남자,20,0148,여자,20,,,,정치,기회균등,1,A,자네 기회균등에 대해 얼마나 알고 있어?,
,,,,,,,,,,,,2,B,그거지 말야 여성 정치인들이 더 많이 필요하다고 생각하지 않니?,
,,,,,,,,,,,,3,A,"그래 그렇게 말하긴 하지만, 여성 정치인들이 많아지면 레알로 기회균등이 이루어질까 싶기도 해",레알
